business_id,name,address,city,state,postal_code,data,score
FSP-060-000181,Cafe 6000,6000 WINDWARD PKWY,ALPHARETTA,GA,30005,2015/02/03,96
FSP-060-001188,Cafe Agora Midtown,92 PEACHTREE PL,ATLANTA,GA,30309,2015/01/28,94
FSP-060-000455,Cafe At Pharr,3145 PEACHTREE RD STE 101,ATLANTA,GA,30305,2015/05/27,100
1-30739,Cafe Circa,464 EDGEWOOD AVE STE B,ATLANTA,GA,30312,2015/03/25,76
FSP-060-000409,Cafe Jonah LLC,3188 PACES FERRY PL,ATLANTA,GA,30305,2015/01/29,91
FSP-060-000278,Cafe Momo,231 PEACHTREE ST NE STE B-71,ATLANTA,GA,30303,2015/04/06,97
FSP-060-000278,Cafe Momo,231 PEACHTREE ST NE STE B-71,ATLANTA,GA,30303,2015/03/24,80
1-22409,Cafe Posh,4920 ROSWELL RD STE 14,ATLANTA,GA,30342,2015/05/06,90
1-22409,Cafe Posh,4920 ROSWELL RD STE 14,ATLANTA,GA,30342,2015/04/27,76
FSP-060-000858,Cafe Q,10475 MEDLOCK BRIDGE RD STE 116,DULUTH,GA,30097,2015/04/08,100
FSP-060-000858,Cafe Q,10475 MEDLOCK BRIDGE RD STE 116,DULUTH,GA,30097,2015/04/02,69
FSP-060-000212,Cafe Spice Student Center Food Court,350 FERST DR NW FL 2,ATLANTA,GA,30332,2015/04/21,100
1-549,Cafe Sunflower,5975 ROSWELL RD STE 353,ATLANTA,GA,30328,2015/01/23,85
1-561,Cajun Grill,2194 NORTH POINT CIR,ALPHARETTA,GA,30022,2015/01/09,92
1-30859,Cake World,12890 HIGHWAY 9 STE 110,ALPHARETTA,GA,30004,2015/01/09,85
1-28438,California Pizza Kitchen,265 18TH ST STE 2150,ATLANTA,GA,30363,2015/05/20,90
1-565,California Pizza Kitchen,6301 NORTH POINT PKWY,ALPHARETTA,GA,30022,2015/05/15,96
FSP-060-001327,Cambridge High School,2845 BETHANY BND,MILTON,GA,30004,2015/03/25,94
1-576,Camp Creek Middle School,4345 WELCOME ALL RD,COLLEGE PARK,GA,30349,2015/03/18,99
FSP-060-000452,Camp Truitt Senior Center,4320 HERSCHELL RD,COLLEGE PARK,GA,30337,2015/06/02,98
1-572,Campbell Elementary School,290 FAIRVIEW DR,FAIRBURN,GA,30213,2015/03/19,100
1-30942,Campus Cafe,9770 MEDLOCK BRIDGE STE C,DULUTH,GA,30096,2015/03/13,98
1-30942,Campus Cafe,9770 MEDLOCK BRIDGE STE C,DULUTH,GA,30096,2015/03/05,79
FSP-060-001606,Canton Buddha,2900 PEACHTREE RD STE 11S,ATLANTA,GA,30305,2015/05/27,83
FSP-060-001606,Canton Buddha,2900 PEACHTREE RD STE 11S,ATLANTA,GA,30305,2015/04/07,87
FSP-060-001606,Canton Buddha,2900 PEACHTREE RD STE 11S,ATLANTA,GA,30305,2015/03/23,85
FSP-060-001606,Canton Buddha,2900 PEACHTREE RD STE 11S,ATLANTA,GA,30305,2015/03/04,87
FSP-060-001606,Canton Buddha,2900 PEACHTREE RD STE 11S,ATLANTA,GA,30305,2015/03/04,97
1-13837,Canton Chopsticks,1923 HOWELL MILL RD,ATLANTA,GA,30318,2015/03/23,79
1-13392,Canton Cooks Restaurant,5984 ROSWELL RD,ATLANTA,GA,30328,2015/01/20,82
1-31767,Capital City Cafe Happy Dell,3350 PEACHTREE RD STE 110,ATLANTA,GA,30326,2015/04/15,93
1-587,Capital City Club Pl Sb,53 WEST BROOKHAVEN DR NE,ATLANTA,GA,30319,2015/06/03,79
FSP-060-002219,Capital City ClubBrookhaven Bar And Buffet,53 W. BROOKHAVEN DR,ATLANTA,GA,30319,2015/06/03,100
